Job,Remote Pay,Onsite Pay,Difference,Prefer
Cloud Engineer,147111,105508,41603,Remote Better
Machine Learning Engineer,148670,125144,23527,Remote Better
Senior Data Scientist,163798,151633,12165,Remote Better
Software Engineer,122367,111235,11132,Remote Better
Data Scientist,144398,134307,10092,Remote Better
Business Analyst,97114,90197,6917,Remote Better
Senior Data Engineer,148245,145364,2881,Remote Better
Data Engineer,132364,129847,2517,Remote Better
Data Analyst,94770,93765,1005,Remote Better
Senior Data Analyst,113335,114229,-894,Onsite Better
