Job Name,Company Name,AVG Salary,Total Jobs,Rank by Salary
Data Scientist,"East River Electric Power Cooperative, Inc.",537000,2,2
Data Scientist,Linquest Corporation,375000,3,3
Data Analyst,Illuminate Mission Solutions,375000,2,3
Data Engineer,Durlston Partners,371000,5,4
Senior Data Scientist,Algo Capital Group,362500,4,4
Data Scientist,Zoox.com,350000,2,4
Data Engineer,Algo Capital Group,343750,4,6
Data Scientist,Demandbase,342333,3,5
Data Scientist,Algo Capital Group,330000,5,7
Data Engineer,Engtal,325000,2,7
Senior Data Scientist,Source Technology,315000,2,6
Senior Data Scientist,Phenom Labs,300000,2,9
Data Analyst,Anthropic,295000,2,5
Senior Data Scientist,Glocomms,282500,3,10
Senior Data Engineer,Capital Markets Recruitment,270000,2,5
Senior Data Engineer,Engtal,261429,7,7
Machine Learning Engineer,TikTok,253000,2,4
Senior Data Analyst,General Dynamics,250000,2,4
Senior Data Analyst,GradBay,240000,2,5
Machine Learning Engineer,Acceler8 Talent,237000,5,7
Software Engineer,TikTok,236542,3,9
Machine Learning Engineer,MongoDB,235500,2,8
Machine Learning Engineer,Capital One,228750,2,9
Business Analyst,Multicoin Capital,200000,2,4
Cloud Engineer,MongoDB,194667,3,5
Senior Data Analyst,U.S. Department of the Treasury,193048,2,8
Senior Data Analyst,Deel,189000,2,9
Senior Data Analyst,Etsy,186250,2,10
Business Analyst,Block,171000,3,7
Business Analyst,Nextracker Inc.,160000,2,9
Cloud Engineer,"The Travelers Companies, Inc.",145000,5,7
